idhh,id,name_latin,id_cg,pop_t_2014,log_t_2014,log_hosp_1k_2014,log_hosp_2k_2014,log_hosp_2k+_2014,delegation,firms
TN32D,TN22D,Sayada- Lamta- Bouhjar,TS212C,24889,8330,10.63738503,53.35386053,36.00875444,3263,1853
TN331,TN231,Mahdia,TS2130,79545,29205,14.65096251,41.25887696,44.09016053,3351,6437
TN332,TN232,Bou Merdès,TS2131,33890,8280,7.576877857,17.245312,75.17781014,3352,1916
TN333,TN233,Ouled Chamekh,TS2132,23020,5735,8.805579773,14.41761421,76.77680602,3353,1020
TN334,TN234,Chorbène,TS2133,25935,7049,8.199783629,8.887863455,82.91235292,3354,1532
TN335,TN235,Hebira,TS2134,10654,3104,12.55673527,7.856449028,79.58681571,3355,460
TN336,TN236,Esouassi,TS2135,50424,12136,12.54685513,9.892892423,77.56025245,3356,2556
TN337,TN237,El Djem,TS2136,48611,13293,8.944324235,38.17977841,52.87589736,3357,3891
TN338,TN238,Chebba,TS2137,24515,10207,15.25010034,64.66280605,20.08709361,3358,1858
TN339,TN239,Meloulech,TS2138,22085,5874,6.602553556,17.07354406,76.32390239,3359,815
TN33A,TN23A,Sidi Alouane,TS2139,37767,10630,5.608941602,23.80598467,70.58507373,3360,1932
TN33B,TN23B,Ksour Essef,TS213A,54366,19445,15.53969183,19.32974931,65.13055886,3361,3777
TN341,TN241,Sfax Ville,TS2140,101176,37382,23.5209407,53.54442831,22.93463099,3451,34820
TN342,TN242,Sfax Ouest,TS2141,110125,35356,13.28350336,39.26967173,47.44682491,3452,803
TN343,TN243,Sakiet Ezzit,TS2142,87512,26711,2.786754018,1.733539493,95.47970649,3453,8685
TN344,TN244,Sakiet Eddair,TS2143,113776,34897,4.402866304,7.637291223,87.95984247,3454,5906
TN345,TN245,Sfax Sud,TS2144,119139,35993,3.228078715,4.212451524,92.55946976,3455,13861
TN346,TN246,Tina,TS2145,62997,17995,2.587032563,2.299891238,95.1130762,3456,1321
TN347,TN247,Agareb,TS2146,40943,11432,11.13248467,24.7626439,64.10487144,3457,1835
TN348,TN248,Djbeniana,TS2147,49678,14004,7.773578204,18.59176116,73.63466063,3458,2968
TN349,TN249,EL Amra,TS2148,30599,8533,2.324553178,9.006534668,88.66891215,3459,1217
TN34A,TN24A,El Hencha,TS2149,49223,13358,8.644927152,11.75811948,79.59695337,3460,2020
TN34B,TN24B,Menzel Chaker,TS214A,37368,9988,7.704155162,4.828130631,87.46771421,3461,1301
TN34C,TN24C,Ghraiba,TS214B,15776,4028,10.15073948,3.277060576,86.57219994,3462,629
TN34D,TN24D,Bir Ali Ben khlifa,TS214C,52678,13560,8.977225377,6.592044765,84.43072986,3463,1957
TN34E,TN24E,Skhira,TS214D,34673,7675,11.34807021,11.55594828,77.0959815,3464,1502
TN34F,TN24F,Mahres,TS214E,34257,12190,5.96036157,33.60488485,60.43475358,3465,2339
TN34G,TN24G,Kerkenah,TS214F,15501,7770,11.55570545,19.50934381,68.93495074,3466,266
TN411,TN251,Kairaouan Nord,TS2210,96781,27599,14.55824487,64.32468679,21.11706834,4151,984
TN412,TN252,Kairouan Sud,TS2211,93101,25897,17.82724652,29.66860476,52.50414872,4152,12696
TN413,TN253,Echbika,TS2212,35308,9551,7.679352507,8.669469591,83.6511779,4153,1198
TN414,TN254,Sebikha,TS2213,71922,18115,7.117617312,12.13306941,80.74931328,4154,2135
TN415,TN255,El  Oueslatia,TS2214,34452,9926,20.92169261,14.59593598,64.48237141,4155,1310
TN416,TN256,Haffouz,TS2215,40066,10425,11.38970191,17.72760688,70.88269121,4156,1695
TN417,TN257,El Alâa,TS2216,28991,7314,8.433959663,18.57768032,72.98836002,4157,1032
TN418,TN258,Hajeb El Ayoun,TS2217,36137,8321,7.15033939,25.50717792,67.34248269,4158,1282
TN419,TN259,Nasrallah,TS2218,33789,10135,5.991088404,22.48753384,71.52137776,4159,1236
TN41A,TN25A,Echrarda,TS2219,27518,8726,5.363019567,16.0300284,78.60695203,4160,1265
TN41B,TN25B,Bouhajla,TS221A,72371,18577,7.19655176,13.56202732,79.24142092,4161,2588
TN421,TN261,Kasserine Nord,TS2220,65322,17194,8.97861764,29.19769383,61.82368853,4251,6164
TN422,TN262,Kasserine Sud,TS2221,21653,5339,1.703705706,7.535603919,90.76069038,4252,393
TN423,TN263,Ezzouhour,TS2222,21819,5206,11.95487311,22.45456059,65.59056631,4253,190
TN424,TN264,Hassi ferid,TS2223,19400,4288,6.856907205,5.986471593,87.1566212,4254,155
TN425,TN265,Sebeitla,TS2224,75245,19604,10.11464612,23.99934632,65.88600756,4255,2958
TN426,TN266,Sebiba,TS2225,41189,8598,19.36574235,12.20772216,68.42653549,4256,1237
TN427,TN267,Djedeliane,TS2226,12297,2738,7.305004349,6.303927026,86.39106862,4257,210
TN428,TN268,El Ayoun,TS2227,19211,4080,7.743124228,6.462151075,85.7947247,4258,431
TN429,TN269,Thalla,TS2228,37128,8878,10.82115905,39.82173012,49.35711082,4259,1121
TN42A,TN26A,Hidra,TS2229,9762,3025,32.74947883,6.498234851,60.75228632,4260,243
TN42B,TN26B,Foussana,TS222A,41447,10051,3.801094444,20.89919562,75.29970994,4261,1616
TN42C,TN26C,Feriana,TS222B,51455,11751,26.00865933,28.40309104,45.58824963,4262,2204
TN42D,TN26D,Majel Bel Abbès,TS222C,23315,5228,15.95975909,16.30829388,67.73194703,4263,759
TN431,TN271,Sidi Bouzid Ouest,TS2230,73226,18906,6.950870706,34.16574339,58.8833859,4351,3014
TN432,TN272,Sidi Bouzid Est,TS2231,49450,12797,1.339929185,5.708622545,92.95144827,4352,4508
TN433,TN273,Jilma,TS2232,40239,8435,10.53103648,14.97701094,74.49195258,4353,1424
TN434,TN274,Cebalit Ouled Asker,TS2233,20382,5457,18.67628401,4.396657634,76.92705836,4354,935
TN435,TN275,Bir Elhfay,TS2234,38288,9714,3.021553956,27.49930527,69.47914077,4355,1519
TN436,TN276,Sidi Ali Ben Aoun,TS2235,28214,7318,20.34227711,16.10071441,63.55700848,4356,823
TN437,TN277,Menzel Bouzaine,TS2236,25321,7067,12.81607753,14.07999557,73.1039269,4357,598
TN438,TN278,Meknassy,TS2237,23789,6303,27.35710818,39.12162504,33.52126678,4358,995
TN439,TN279,Souk Jdid,TS2238,21660,5069,5.965730325,14.85342011,79.18084957,4359,810
TN43A,TN27A,Mezzouna,TS2239,24766,5352,12.07310654,22.84890622,65.07798723,4360,845
TN43B,TN27B,Rgueb,TS223A,64998,17948,4.534862648,16.70097522,78.76416213,4361,2087
