idkikj,idj,name_latin,id_cg,NOM_AR,gou,gou_nom,reg,reg_nom,zon,zon_nom,cap_gou,dist_cap_gou,niveau_urbain,dist_cap_tunis,dist_port_export,population_2014,idr_2011,delegation,gouvernorat,firmsdeleg,firmsgouv
TN17E,TN17E,Ras Djbel,TS117D,راس الجبل,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"27,1",(3) 20-50000,"49,2","32,7",58241,"0,429",1764,17,3720,37429
TN211,TN181,Béja Nord,TS1210,باجة الشمالية,TS121,Beja,TS12,Nord-ouest,TS1,Nord,1,1,(4) 50-100 000,"87,3",70,71198,"0,339",2151,21,5742,18312
TN212,TN182,Béja Sud,TS1211,باجة الجنوبية,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"19,2",(4) 50-100 000,"93,3","84,2",38101,"0,299",2152,21,2414,18312
TN213,TN183,Amdoun,TS1212,عمدون,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"18,9",(1) moins de 10 000,"105,3",86,21187,"0,205",2153,21,890,18312
TN214,TN184,Nefza,TS1213,نفزة,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"26,4",(1) moins de 10 000,"104,5","76,5",48101,"0,173",2154,21,2043,18312
TN215,TN185,Teboursouk,TS1214,تبرسق,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"39,4",(2) 10-20 000,"94,7","96,1",22115,"0,291",2155,21,1328,18312
TN216,TN186,Tibar,TS1215,تيبار,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,38,(1) moins de 10 000,"105,9",102,11206,"0,241",2156,21,456,18312
TN217,TN187,Testour,TS1216,تستور,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"31,6",(2) 10-20 000,"73,3","74,8",33613,"0,245",2157,21,1792,18312
TN218,TN188,Goubellat,TS1217,قبلاط,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,53,(1) moins de 10 000,55,"66,1",15762,"0,249",2158,21,526,18312
TN219,TN189,Mdjez Elbeb,TS1218,مجاز الباب,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"37,8",(3) 20-50000,"53,6","55,6",41749,"0,354",2159,21,3121,18312
TN221,TN191,Jendouba,TS122,جندوبة,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,1,1,(3) 20-50000,"131,5","123,8",72337,"0,291",2251,22,5596,20180
TN222,TN192,Jendouba Nord,TS1221,جندوبة الشمالية,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"14,5",(3) 20-50000,"139,6","127,6",40779,"0,234",2252,22,1641,20180
TN223,TN193,Bou Salem,TS1222,بوسالم,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"19,4",(3) 20-50000,"114,4","105,4",35501,"0,286",2253,22,2831,20180
TN224,TN194,Tabarka,TS1223,طبرقة,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"51,5",(2) 10-20 000,"124,9","99,8",48993,"0,273",2254,22,2820,20180
TN225,TN195,Ain Drahem,TS1224,عين دراهم,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"38,5",(2) 10-20 000,"136,8",116,35400,"0,089",2255,22,1431,20180
TN226,TN196,Fernana,TS1225,فرنانة,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"27,7",(1) moins de 10 000,"143,1","126,5",47690,"0,091",2256,22,1667,20180
TN227,TN197,Ghardimaou,TS1226,غار الدماء,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"42,6",(3) 20-50000,"170,9","157,1",64170,"0,188",2257,22,2975,20180
TN228,TN198,Oued Mliz,TS1227,وادي مليز,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"24,3",(1) moins de 10 000,"153,9","142,8",17843,"0,099",2258,22,697,20180
TN229,TN199,Balta Bou Aouane,TS1228,بلطة بوعوان,TS122,Jendouba,TS12,Nord-ouest,TS1,Nord,0,"28,9",(1) moins de 10 000,"117,4","101,6",38764,"0,16",2259,22,522,20180
TN231,TN1A1,Kef Ouest,TS1230,الكاف الغربية,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,1,1,(3) 20-50000,"162,5","161,6",33418,"0,331",2351,23,1326,12300
TN232,TN1A2,Kef Est,TS1231,الكاف الشرقية,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"24,2",(3) 20-50000,"140,7","143,3",40288,"0,337",2352,23,3778,12300
TN233,TN1A3,Nebeur,TS1232,نبر,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"24,8",(1) moins de 10 000,"142,5","138,6",25897,"0,141",2353,23,1070,12300
TN234,TN1A4,Sakiet Sidi Youssef,TS1233,ساقية سيدي يوسف,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,19,(1) moins de 10 000,"176,9","172,3",17500,"0,102",2354,23,617,12300
TN235,TN1A5,Tajerouine,TS1234,تاجروين,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"23,4",(2) 10-20 000,"179,2","181,8",27592,"0,212",2355,23,1399,12300
TN236,TN1A6,Kalaât Snan,TS1235,قلعة سنان,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"47,2",(1) moins de 10 000,"203,6","206,8",15621,"0,141",2356,23,505,12300
TN237,TN1A7,Kalaât Khesba,TS1236,القلعة الخصبة,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"51,1",(1) moins de 10 000,"197,6","203,2",6652,"0,104",2357,23,219,12300
TN238,TN1A8,Djerissa,TS1237,الجريصة,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"38,2",(1) moins de 10 000,"181,7","188,7",9807,"0,14",2358,23,387,12300
TN239,TN1A9,Elksour,TS1238,القصور,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"47,3",(1) moins de 10 000,"158,9","163,3",15215,"0,171",2359,23,660,12300
TN23A,TN1AA,Dahmani,TS1239,الدهماني,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"29,1",(2) 10-20 000,160,"167,3",27907,"0,218",2360,23,1291,12300
TN23B,TN1AB,Es Seres,TS123A,السرس,TS123,Le Kef,TS12,Nord-ouest,TS1,Nord,0,"36,9",(2) 10-20 000,"138,8","147,5",23259,"0,201",2361,23,1048,12300
TN241,TN1B1,Siliana Nord,TS1240,سليانة الشمالية,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,1,1,(3) 20-50000,"118,8","127,5",28907,"0,325",2451,24,3365,10362
TN242,TN1B2,Siliana Sud,TS1241,سليانة الجنوبية,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,15,(3) 20-50000,"120,1","121,3",30233,"0,256",2452,24,134,10362
TN243,TN1B3,Bou Arada,TS1242,بوعرادة,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"42,4",(2) 10-20 000,"77,4","86,2",20444,"0,278",2453,24,870,10362
